issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
4,32,8,64kB,2,True,1MB,1.042511,316,1377.6,True
4,32,8,64kB,2,True,2MB,1.042511,317,2401.6,False
4,32,8,64kB,4,True,512kB,1.042573,318,867.2,True
4,32,8,64kB,4,True,1MB,1.042573,319,1379.2,True
4,32,8,64kB,4,True,2MB,1.042573,320,2403.2,False
4,32,8,64kB,8,True,512kB,1.042573,321,870.4,True
4,32,8,64kB,8,True,1MB,1.042573,322,1382.4,True
4,32,8,64kB,8,True,2MB,1.042573,323,2406.4,False
4,64,2,16kB,2,True,512kB,1.0518,324,834.4,True
4,64,2,16kB,2,True,1MB,1.0518,325,1346.4,True
4,64,2,16kB,2,True,2MB,1.0518,326,2370.4,False
4,64,2,16kB,4,True,512kB,1.051877,327,834.8,True
4,64,2,16kB,4,True,1MB,1.051877,328,1346.8,True
4,64,2,16kB,4,True,2MB,1.051877,329,2370.8,False
4,64,2,16kB,8,True,512kB,1.052753,330,835.6,True
4,64,2,16kB,8,True,1MB,1.052753,331,1347.6,True
4,64,2,16kB,8,True,2MB,1.052753,332,2371.6,False
4,64,2,32kB,2,True,512kB,1.052753,333,850.8,True
4,64,2,32kB,2,True,1MB,1.052753,334,1362.8,True
4,64,2,32kB,2,True,2MB,1.052753,335,2386.8,False
4,64,2,32kB,4,True,512kB,1.052752,336,851.6,True
4,64,2,32kB,4,True,1MB,1.052752,337,1363.6,True
4,64,2,32kB,4,True,2MB,1.052752,338,2387.6,False
4,64,2,32kB,8,True,512kB,1.052753,339,853.2,True
4,64,2,32kB,8,True,1MB,1.052753,340,1365.2,True
4,64,2,32kB,8,True,2MB,1.052753,341,2389.2,False
4,64,2,64kB,2,True,512kB,1.05288,342,883.6,True
4,64,2,64kB,2,True,1MB,1.05288,343,1395.6,True
4,64,2,64kB,2,True,2MB,1.05288,344,2419.6,False
4,64,2,64kB,4,True,512kB,1.052887,345,885.2,True
4,64,2,64kB,4,True,1MB,1.052887,346,1397.2,True
4,64,2,64kB,4,True,2MB,1.052887,347,2421.2,False
4,64,2,64kB,8,True,512kB,1.052887,348,888.4,True
4,64,2,64kB,8,True,1MB,1.052887,349,1400.4,True
4,64,2,64kB,8,True,2MB,1.052887,350,2424.4,False
4,64,4,16kB,2,True,512kB,1.052857,351,844.4,True
4,64,4,16kB,2,True,1MB,1.052857,352,1356.4,True
4,64,4,16kB,2,True,2MB,1.052857,353,2380.4,False
4,64,4,16kB,4,True,512kB,1.052866,354,844.8,True
4,64,4,16kB,4,True,1MB,1.052866,355,1356.8,True
4,64,4,16kB,4,True,2MB,1.052866,356,2380.8,False
