core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc_compute,config_id,cost,is_feasible,ipc_latency,ipc_concurrency
DerivO3CPU,2,128,8,16kB,4,512kB,0.865156,219,860.8,True,0.477347,0.574779
DerivO3CPU,2,128,8,16kB,4,1MB,0.865156,220,1372.8,True,0.53429,0.591959
DerivO3CPU,2,128,8,16kB,4,2MB,0.865156,221,2396.8,False,0.605781,0.635085
DerivO3CPU,2,128,8,16kB,8,512kB,0.865156,222,861.6,True,0.477306,0.573907
DerivO3CPU,2,128,8,16kB,8,1MB,0.865156,223,1373.6,True,0.534331,0.592434
DerivO3CPU,2,128,8,16kB,8,2MB,0.865156,224,2397.6,False,0.605781,0.635083
DerivO3CPU,2,128,8,32kB,2,512kB,0.865156,225,876.8,True,0.478042,0.575017
DerivO3CPU,2,128,8,32kB,2,1MB,0.865156,226,1388.8,True,0.535428,0.593046
DerivO3CPU,2,128,8,32kB,2,2MB,0.865156,227,2412.8,False,0.605797,0.635099
DerivO3CPU,2,128,8,32kB,4,512kB,0.865156,228,877.6,True,0.478013,0.575228
DerivO3CPU,2,128,8,32kB,4,1MB,0.865156,229,1389.6,True,0.535259,0.592569
DerivO3CPU,2,128,8,32kB,4,2MB,0.865156,230,2413.6,False,0.605793,0.635097
DerivO3CPU,2,128,8,32kB,8,512kB,0.865156,231,879.2,True,0.477926,0.575109
DerivO3CPU,2,128,8,32kB,8,1MB,0.865156,232,1391.2,True,0.53518,0.592642
DerivO3CPU,2,128,8,32kB,8,2MB,0.865156,233,2415.2,False,0.605793,0.635089
DerivO3CPU,2,128,8,64kB,2,512kB,0.865277,234,909.6,True,0.479762,0.577168
DerivO3CPU,2,128,8,64kB,2,1MB,0.865277,235,1421.6,True,0.536583,0.595153
DerivO3CPU,2,128,8,64kB,2,2MB,0.865277,236,2445.6,False,0.605865,0.635235
DerivO3CPU,2,128,8,64kB,4,512kB,0.865275,237,911.2,True,0.47982,0.57708
DerivO3CPU,2,128,8,64kB,4,1MB,0.865275,238,1423.2,True,0.536431,0.594849
DerivO3CPU,2,128,8,64kB,4,2MB,0.865275,239,2447.2,False,0.605834,0.635235
DerivO3CPU,2,128,8,64kB,8,512kB,0.865275,240,914.4,True,0.479453,0.577637
DerivO3CPU,2,128,8,64kB,8,1MB,0.865275,241,1426.4,True,0.536363,0.594486
DerivO3CPU,2,128,8,64kB,8,2MB,0.865275,242,2450.4,False,0.605834,0.635227
DerivO3CPU,4,32,2,16kB,2,512kB,1.042244,243,786.4,True,0.47808,0.529489
DerivO3CPU,4,32,2,16kB,2,1MB,1.042244,244,1298.4,True,0.535068,0.576542
DerivO3CPU,4,32,2,16kB,2,2MB,1.042244,245,2322.4,False,0.607136,0.628709
DerivO3CPU,4,32,2,16kB,4,512kB,1.042424,246,786.8,True,0.478019,0.529059
DerivO3CPU,4,32,2,16kB,4,1MB,1.042424,247,1298.8,True,0.535142,0.575987
DerivO3CPU,4,32,2,16kB,4,2MB,1.042424,248,2322.8,False,0.607136,0.628819
DerivO3CPU,4,32,2,16kB,8,512kB,1.042424,249,787.6,True,0.478018,0.528935
DerivO3CPU,4,32,2,16kB,8,1MB,1.042424,250,1299.6,True,0.535213,0.575927
DerivO3CPU,4,32,2,16kB,8,2MB,1.042424,251,2323.6,False,0.607136,0.628819
DerivO3CPU,4,32,2,32kB,2,512kB,1.042424,252,802.8,True,0.478413,0.531324
DerivO3CPU,4,32,2,32kB,2,1MB,1.042424,253,1314.8,True,0.536156,0.577974
DerivO3CPU,4,32,2,32kB,2,2MB,1.042424,254,2338.8,False,0.607152,0.628819
DerivO3CPU,4,32,2,32kB,4,512kB,1.042424,255,803.6,True,0.478501,0.530932
DerivO3CPU,4,32,2,32kB,4,1MB,1.042424,256,1315.6,True,0.536243,0.577527
DerivO3CPU,4,32,2,32kB,4,2MB,1.042424,257,2339.6,False,0.607148,0.628819
DerivO3CPU,4,32,2,32kB,8,512kB,1.042424,258,805.2,True,0.478386,0.53041
DerivO3CPU,4,32,2,32kB,8,1MB,1.042424,259,1317.2,True,0.536204,0.57709
DerivO3CPU,4,32,2,32kB,8,2MB,1.042424,260,2341.2,False,0.607148,0.628819
DerivO3CPU,4,32,2,64kB,2,512kB,1.042511,261,835.6,True,0.480969,0.534177
DerivO3CPU,4,32,2,64kB,2,1MB,1.042511,262,1347.6,True,0.537936,0.581188
DerivO3CPU,4,32,2,64kB,2,2MB,1.042511,263,2371.6,False,0.607313,0.628819
DerivO3CPU,4,32,2,64kB,4,512kB,1.042573,264,837.2,True,0.480776,0.533827
DerivO3CPU,4,32,2,64kB,4,1MB,1.042573,265,1349.2,True,0.537859,0.580519
DerivO3CPU,4,32,2,64kB,4,2MB,1.042573,266,2373.2,False,0.607306,0.628819
DerivO3CPU,4,32,2,64kB,8,512kB,1.042573,267,840.4,True,0.480445,0.53284
DerivO3CPU,4,32,2,64kB,8,1MB,1.042573,268,1352.4,True,0.537565,0.579716
DerivO3CPU,4,32,2,64kB,8,2MB,1.042573,269,2376.4,False,0.607303,0.628819
DerivO3CPU,4,32,4,16kB,2,512kB,1.042424,270,796.4,True,0.478106,0.565995
DerivO3CPU,4,32,4,16kB,2,1MB,1.042424,271,1308.4,True,0.535213,0.594094
DerivO3CPU,4,32,4,16kB,2,2MB,1.042424,272,2332.4,False,0.607137,0.636158
DerivO3CPU,4,32,4,16kB,4,512kB,1.042424,273,796.8,True,0.478044,0.565888
DerivO3CPU,4,32,4,16kB,4,1MB,1.042424,274,1308.8,True,0.535179,0.594086
DerivO3CPU,4,32,4,16kB,4,2MB,1.042424,275,2332.8,False,0.607137,0.636158
DerivO3CPU,4,32,4,16kB,8,512kB,1.042424,276,797.6,True,0.478044,0.565818
DerivO3CPU,4,32,4,16kB,8,1MB,1.042424,277,1309.6,True,0.535244,0.593825
DerivO3CPU,4,32,4,16kB,8,2MB,1.042424,278,2333.6,False,0.607137,0.636158
DerivO3CPU,4,32,4,32kB,2,512kB,1.042424,279,812.8,True,0.478437,0.567599
DerivO3CPU,4,32,4,32kB,2,1MB,1.042424,280,1324.8,True,0.536187,0.595083
