issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
4,32,2,16kB,4,True,2MB,0.607136,248,2322.8,False
4,32,2,16kB,8,True,512kB,0.478018,249,787.6,True
4,32,2,16kB,8,True,1MB,0.535213,250,1299.6,True
4,32,2,16kB,8,True,2MB,0.607136,251,2323.6,False
4,32,2,32kB,2,True,512kB,0.478413,252,802.8,True
4,32,2,32kB,2,True,1MB,0.536156,253,1314.8,True
4,32,2,32kB,2,True,2MB,0.607152,254,2338.8,False
4,32,2,32kB,4,True,512kB,0.478501,255,803.6,True
4,32,2,32kB,4,True,1MB,0.536243,256,1315.6,True
4,32,2,32kB,4,True,2MB,0.607148,257,2339.6,False
4,32,2,32kB,8,True,512kB,0.478386,258,805.2,True
4,32,2,32kB,8,True,1MB,0.536204,259,1317.2,True
4,32,2,32kB,8,True,2MB,0.607148,260,2341.2,False
4,32,2,64kB,2,True,512kB,0.480969,261,835.6,True
4,32,2,64kB,2,True,1MB,0.537936,262,1347.6,True
4,32,2,64kB,2,True,2MB,0.607313,263,2371.6,False
4,32,2,64kB,4,True,512kB,0.480776,264,837.2,True
4,32,2,64kB,4,True,1MB,0.537859,265,1349.2,True
4,32,2,64kB,4,True,2MB,0.607306,266,2373.2,False
4,32,2,64kB,8,True,512kB,0.480445,267,840.4,True
4,32,2,64kB,8,True,1MB,0.537565,268,1352.4,True
4,32,2,64kB,8,True,2MB,0.607303,269,2376.4,False
4,32,4,16kB,2,True,512kB,0.478106,270,796.4,True
4,32,4,16kB,2,True,1MB,0.535213,271,1308.4,True
4,32,4,16kB,2,True,2MB,0.607137,272,2332.4,False
4,32,4,16kB,4,True,512kB,0.478044,273,796.8,True
4,32,4,16kB,4,True,1MB,0.535179,274,1308.8,True
4,32,4,16kB,4,True,2MB,0.607137,275,2332.8,False
4,32,4,16kB,8,True,512kB,0.478044,276,797.6,True
4,32,4,16kB,8,True,1MB,0.535244,277,1309.6,True
4,32,4,16kB,8,True,2MB,0.607137,278,2333.6,False
4,32,4,32kB,2,True,512kB,0.478437,279,812.8,True
4,32,4,32kB,2,True,1MB,0.536187,280,1324.8,True
4,32,4,32kB,2,True,2MB,0.607154,281,2348.8,False
4,32,4,32kB,4,True,512kB,0.478526,282,813.6,True
4,32,4,32kB,4,True,1MB,0.536272,283,1325.6,True
4,32,4,32kB,4,True,2MB,0.607149,284,2349.6,False
4,32,4,32kB,8,True,512kB,0.47841,285,815.2,True
4,32,4,32kB,8,True,1MB,0.536235,286,1327.2,True
4,32,4,32kB,8,True,2MB,0.607149,287,2351.2,False
4,32,4,64kB,2,True,512kB,0.480997,288,845.6,True
4,32,4,64kB,2,True,1MB,0.537968,289,1357.6,True
4,32,4,64kB,2,True,2MB,0.607314,290,2381.6,False
4,32,4,64kB,4,True,512kB,0.480804,291,847.2,True
4,32,4,64kB,4,True,1MB,0.537891,292,1359.2,True
4,32,4,64kB,4,True,2MB,0.607307,293,2383.2,False
4,32,4,64kB,8,True,512kB,0.480458,294,850.4,True
4,32,4,64kB,8,True,1MB,0.537597,295,1362.4,True
4,32,4,64kB,8,True,2MB,0.607305,296,2386.4,False
