config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
513,8,32,4,16kB,2,512kB,1.048105
514,8,32,4,16kB,2,1MB,1.048105
515,8,32,4,16kB,2,2MB,1.048105
516,8,32,4,16kB,4,512kB,1.048703
517,8,32,4,16kB,4,1MB,1.048703
518,8,32,4,16kB,4,2MB,1.048703
519,8,32,4,16kB,8,512kB,1.048773
520,8,32,4,16kB,8,1MB,1.048773
521,8,32,4,16kB,8,2MB,1.048773
522,8,32,4,32kB,2,512kB,1.048773
523,8,32,4,32kB,2,1MB,1.048773
524,8,32,4,32kB,2,2MB,1.048773
525,8,32,4,32kB,4,512kB,1.048773
526,8,32,4,32kB,4,1MB,1.048773
527,8,32,4,32kB,4,2MB,1.048773
528,8,32,4,32kB,8,512kB,1.048773
529,8,32,4,32kB,8,1MB,1.048773
530,8,32,4,32kB,8,2MB,1.048773
531,8,32,4,64kB,2,512kB,1.048975
532,8,32,4,64kB,2,1MB,1.048975
533,8,32,4,64kB,2,2MB,1.048975
534,8,32,4,64kB,4,512kB,1.048975
535,8,32,4,64kB,4,1MB,1.048975
536,8,32,4,64kB,4,2MB,1.048975
537,8,32,4,64kB,8,512kB,1.048975
538,8,32,4,64kB,8,1MB,1.048975
539,8,32,4,64kB,8,2MB,1.048975
540,8,32,8,16kB,2,512kB,1.048105
541,8,32,8,16kB,2,1MB,1.048105
542,8,32,8,16kB,2,2MB,1.048105
543,8,32,8,16kB,4,512kB,1.048703
544,8,32,8,16kB,4,1MB,1.048703
545,8,32,8,16kB,4,2MB,1.048703
546,8,32,8,16kB,8,512kB,1.048773
547,8,32,8,16kB,8,1MB,1.048773
548,8,32,8,16kB,8,2MB,1.048773
549,8,32,8,32kB,2,512kB,1.048773
550,8,32,8,32kB,2,1MB,1.048773
551,8,32,8,32kB,2,2MB,1.048773
552,8,32,8,32kB,4,512kB,1.048773
553,8,32,8,32kB,4,1MB,1.048773
554,8,32,8,32kB,4,2MB,1.048773
555,8,32,8,32kB,8,512kB,1.048773
556,8,32,8,32kB,8,1MB,1.048773
557,8,32,8,32kB,8,2MB,1.048773
558,8,32,8,64kB,2,512kB,1.048975
559,8,32,8,64kB,2,1MB,1.048975
560,8,32,8,64kB,2,2MB,1.048975
561,8,32,8,64kB,4,512kB,1.048975
562,8,32,8,64kB,4,1MB,1.048975
563,8,32,8,64kB,4,2MB,1.048975
564,8,32,8,64kB,8,512kB,1.048975
565,8,32,8,64kB,8,1MB,1.048975
566,8,32,8,64kB,8,2MB,1.048975
567,8,64,2,16kB,2,512kB,1.065878
568,8,64,2,16kB,2,1MB,1.065878
569,8,64,2,16kB,2,2MB,1.065878
570,8,64,2,16kB,4,512kB,1.066009
571,8,64,2,16kB,4,1MB,1.066009
572,8,64,2,16kB,4,2MB,1.066009
573,8,64,2,16kB,8,512kB,1.066131
574,8,64,2,16kB,8,1MB,1.066131
575,8,64,2,16kB,8,2MB,1.066131
576,8,64,2,32kB,2,512kB,1.066131
577,8,64,2,32kB,2,1MB,1.066131
578,8,64,2,32kB,2,2MB,1.066131
579,8,64,2,32kB,4,512kB,1.066131
580,8,64,2,32kB,4,1MB,1.066131
581,8,64,2,32kB,4,2MB,1.066131
582,8,64,2,32kB,8,512kB,1.066131
583,8,64,2,32kB,8,1MB,1.066131
584,8,64,2,32kB,8,2MB,1.066131
585,8,64,2,64kB,2,512kB,1.066258
586,8,64,2,64kB,2,1MB,1.066258
587,8,64,2,64kB,2,2MB,1.066258
588,8,64,2,64kB,4,512kB,1.066258
589,8,64,2,64kB,4,1MB,1.066258
590,8,64,2,64kB,4,2MB,1.066258
591,8,64,2,64kB,8,512kB,1.066258
592,8,64,2,64kB,8,1MB,1.066258
593,8,64,2,64kB,8,2MB,1.066258
594,8,64,4,16kB,2,512kB,1.066246
595,8,64,4,16kB,2,1MB,1.066246
596,8,64,4,16kB,2,2MB,1.066246
597,8,64,4,16kB,4,512kB,1.066292
598,8,64,4,16kB,4,1MB,1.066292
599,8,64,4,16kB,4,2MB,1.066292
600,8,64,4,16kB,8,512kB,1.066246
