config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
465,4,128,8,16kB,8,512kB,0.578885
466,4,128,8,16kB,8,1MB,0.598666
467,4,128,8,16kB,8,2MB,0.642183
468,4,128,8,32kB,2,512kB,0.581328
469,4,128,8,32kB,2,1MB,0.599535
470,4,128,8,32kB,2,2MB,0.642186
471,4,128,8,32kB,4,512kB,0.581119
472,4,128,8,32kB,4,1MB,0.599388
473,4,128,8,32kB,4,2MB,0.642186
474,4,128,8,32kB,8,512kB,0.58015
475,4,128,8,32kB,8,1MB,0.599279
476,4,128,8,32kB,8,2MB,0.642186
477,4,128,8,64kB,2,512kB,0.583293
478,4,128,8,64kB,2,1MB,0.601576
479,4,128,8,64kB,2,2MB,0.642203
480,4,128,8,64kB,4,512kB,0.582329
481,4,128,8,64kB,4,1MB,0.601413
482,4,128,8,64kB,4,2MB,0.642203
483,4,128,8,64kB,8,512kB,0.583541
484,4,128,8,64kB,8,1MB,0.600875
485,4,128,8,64kB,8,2MB,0.642199
486,8,32,2,16kB,2,512kB,0.530682
487,8,32,2,16kB,2,1MB,0.578019
488,8,32,2,16kB,2,2MB,0.630582
489,8,32,2,16kB,4,512kB,0.531034
490,8,32,2,16kB,4,1MB,0.577899
491,8,32,2,16kB,4,2MB,0.630653
492,8,32,2,16kB,8,512kB,0.530947
493,8,32,2,16kB,8,1MB,0.577774
494,8,32,2,16kB,8,2MB,0.63065
495,8,32,2,32kB,2,512kB,0.53185
496,8,32,2,32kB,2,1MB,0.579417
497,8,32,2,32kB,2,2MB,0.630653
498,8,32,2,32kB,4,512kB,0.53139
499,8,32,2,32kB,4,1MB,0.578705
500,8,32,2,32kB,4,2MB,0.630653
501,8,32,2,32kB,8,512kB,0.530947
502,8,32,2,32kB,8,1MB,0.578441
503,8,32,2,32kB,8,2MB,0.630653
504,8,32,2,64kB,2,512kB,0.535203
505,8,32,2,64kB,2,1MB,0.582487
506,8,32,2,64kB,2,2MB,0.63071
507,8,32,2,64kB,4,512kB,0.534668
508,8,32,2,64kB,4,1MB,0.581731
509,8,32,2,64kB,4,2MB,0.63071
510,8,32,2,64kB,8,512kB,0.533625
511,8,32,2,64kB,8,1MB,0.580688
512,8,32,2,64kB,8,2MB,0.63071
513,8,32,4,16kB,2,512kB,0.567524
514,8,32,4,16kB,2,1MB,0.595562
515,8,32,4,16kB,2,2MB,0.63786
