core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc,config_id,cost,is_feasible
DerivO3CPU,4,32,2,16kB,8,2MB,0.628819,251,2323.6,False
DerivO3CPU,4,32,2,32kB,2,512kB,0.531324,252,802.8,True
DerivO3CPU,4,32,2,32kB,2,1MB,0.577974,253,1314.8,True
DerivO3CPU,4,32,2,32kB,2,2MB,0.628819,254,2338.8,False
DerivO3CPU,4,32,2,32kB,4,512kB,0.530932,255,803.6,True
DerivO3CPU,4,32,2,32kB,4,1MB,0.577527,256,1315.6,True
DerivO3CPU,4,32,2,32kB,4,2MB,0.628819,257,2339.6,False
DerivO3CPU,4,32,2,32kB,8,512kB,0.53041,258,805.2,True
DerivO3CPU,4,32,2,32kB,8,1MB,0.57709,259,1317.2,True
DerivO3CPU,4,32,2,32kB,8,2MB,0.628819,260,2341.2,False
DerivO3CPU,4,32,2,64kB,2,512kB,0.534177,261,835.6,True
DerivO3CPU,4,32,2,64kB,2,1MB,0.581188,262,1347.6,True
DerivO3CPU,4,32,2,64kB,2,2MB,0.628819,263,2371.6,False
DerivO3CPU,4,32,2,64kB,4,512kB,0.533827,264,837.2,True
DerivO3CPU,4,32,2,64kB,4,1MB,0.580519,265,1349.2,True
DerivO3CPU,4,32,2,64kB,4,2MB,0.628819,266,2373.2,False
DerivO3CPU,4,32,2,64kB,8,512kB,0.53284,267,840.4,True
DerivO3CPU,4,32,2,64kB,8,1MB,0.579716,268,1352.4,True
DerivO3CPU,4,32,2,64kB,8,2MB,0.628819,269,2376.4,False
DerivO3CPU,4,32,4,16kB,2,512kB,0.565995,270,796.4,True
DerivO3CPU,4,32,4,16kB,2,1MB,0.594094,271,1308.4,True
DerivO3CPU,4,32,4,16kB,2,2MB,0.636158,272,2332.4,False
DerivO3CPU,4,32,4,16kB,4,512kB,0.565888,273,796.8,True
DerivO3CPU,4,32,4,16kB,4,1MB,0.594086,274,1308.8,True
DerivO3CPU,4,32,4,16kB,4,2MB,0.636158,275,2332.8,False
DerivO3CPU,4,32,4,16kB,8,512kB,0.565818,276,797.6,True
DerivO3CPU,4,32,4,16kB,8,1MB,0.593825,277,1309.6,True
DerivO3CPU,4,32,4,16kB,8,2MB,0.636158,278,2333.6,False
